"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "XML", "TypeScript JSX", "CSS", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\getUserProjectsRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 4, 41
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\incrementProjectViewsRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\logInRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 4, 45
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\publishTheProjectRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\updateTheProjectStatusRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 87, 0, 0, 13, 24, 124
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 5, 100
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Components\Divider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 8, 59
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Components\HamburgerMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 6, 173
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Components\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 6, 86
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Components\SearchInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 8, 104
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Components\SideBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 7, 60
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Components\Toast\Toasts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Components\UserSideBarSections.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 9, 136
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Components\UserTitles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 10, 89
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Components\foldersAndFilesStructure.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 5, 138
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Context\UserContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 6, 78
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Functions\distructuringFeedBack.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Functions\extractFileNameFromUrl.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Hooks\UseAdminReview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Hooks\UseGetAllProjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Hooks\UseGetCompletedProjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 6, 37
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Hooks\UseGetFileContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Hooks\UseGetMyProjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 35
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Hooks\UseGetProjectsByTag.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Hooks\UseGetProjectsToDo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Hooks\UseGetTokens.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 11, 68
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Hooks\UseLogIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 9, 123
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Hooks\UseProjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 9, 48
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Hooks\UseReviewInternalProjectForAdmin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Hooks\UseReviewProjectsForAdmin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\AddProject\AddProject.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 151, 0, 0, 0, 1, 5, 157
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\Admin\AdminHome\AdminTitles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\Admin\AdminHome\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\Admin\AllProjects\AllProjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 7, 45
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\Admin\Components\AdminSideBarSections.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 4, 52
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\Admin\Components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 7, 93
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\Admin\ProjectsToDo\ProjectsToDo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 7, 45
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\Admin\ReviewProject.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 6, 51
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\Admin\ReviewProjectInternalFolders.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 8, 72
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\Pages\Admin\displayFile\DisplayFile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 10, 173
